id,group,predicted,actual
u001,group_a,approved,approved
u002,group_a,approved,approved
u003,group_a,denied,denied
u004,group_a,approved,denied
u005,group_a,approved,approved
u006,group_a,denied,approved
u007,group_a,approved,approved
u008,group_a,approved,approved
u009,group_a,denied,denied
u010,group_a,approved,approved
u011,group_b,denied,approved
u012,group_b,denied,denied
u013,group_b,approved,approved
u014,group_b,denied,approved
u015,group_b,denied,denied
u016,group_b,approved,approved
u017,group_b,denied,approved
u018,group_b,denied,denied
u019,group_b,approved,approved
u020,group_b,denied,approved
u021,group_c,approved,approved
u022,group_c,approved,approved
u023,group_c,denied,denied
u024,group_c,approved,approved
u025,group_c,approved,denied
u026,group_c,approved,approved
u027,group_c,denied,denied
u028,group_c,approved,approved
