date,model,feature,provider,requests,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,reasoning_tokens,cost_usd
2026-08-10,claude-haiku-4-5,agent-runs,anthropic,240,185520,35040,64703,5176,,0.308957
2026-08-10,claude-haiku-4-5,chat,anthropic,296,216376,200984,36353,2908,,1.192213
2026-08-10,claude-haiku-4-5,summarize,anthropic,123,158055,24969,23787,1902,,0.263869
2026-08-10,claude-sonnet-5,agent-runs,anthropic,358,330792,151076,175825,14066,,2.836536
2026-08-10,claude-sonnet-5,chat,anthropic,368,354384,110400,17491,1399,,2.677173
2026-08-10,claude-sonnet-5,summarize,anthropic,224,506688,31808,61654,4932,,1.849213
2026-08-10,gpt-4o,agent-runs,openai,281,370077,130665,164314,13145,,1.903214
2026-08-10,gpt-4o,chat,openai,129,274383,71208,37041,2963,,1.323955
2026-08-10,gpt-4o,summarize,openai,330,715110,215820,133005,10640,,3.679964
2026-08-11,claude-haiku-4-5,agent-runs,anthropic,154,169862,44044,92584,7406,,0.316014
2026-08-11,claude-haiku-4-5,chat,anthropic,317,541436,45648,155999,12479,,0.644876
2026-08-11,claude-haiku-4-5,summarize,anthropic,85,190655,19720,44210,3536,,0.253886
2026-08-11,claude-sonnet-5,agent-runs,anthropic,258,605526,31734,268398,21471,,1.64843
2026-08-11,claude-sonnet-5,chat,anthropic,149,240039,92231,70940,5675,,1.933325
2026-08-11,claude-sonnet-5,summarize,anthropic,117,239850,19539,54166,4333,,0.882636
2026-08-11,gpt-4o,agent-runs,openai,138,168498,38502,71908,5752,,0.662447
2026-08-11,gpt-4o,chat,openai,165,207405,54285,44411,3552,,0.972538
2026-08-11,gpt-4o,summarize,openai,229,265869,41220,68938,5515,,0.938996
2026-08-12,claude-haiku-4-5,agent-runs,anthropic,325,762775,125450,203369,16269,,1.227329
2026-08-12,claude-haiku-4-5,chat,anthropic,384,630144,134016,153171,12253,,1.177686
2026-08-12,claude-haiku-4-5,summarize,anthropic,286,272558,125554,93955,7516,,0.825164
2026-08-12,claude-sonnet-5,agent-runs,anthropic,191,344564,68951,113711,9096,,1.795047
2026-08-12,claude-sonnet-5,chat,anthropic,111,237762,65379,2245,179,,1.688581
2026-08-12,claude-sonnet-5,summarize,anthropic,98,121520,22638,13208,1056,,0.672428
2026-08-12,gpt-4o,agent-runs,openai,148,331668,76072,178044,14243,,1.2338
2026-08-12,gpt-4o,chat,openai,255,497760,173400,211261,16900,,2.555875
2026-08-12,gpt-4o,summarize,openai,327,773682,113142,169965,13597,,2.725694
2026-08-13,claude-haiku-4-5,agent-runs,anthropic,157,278047,47414,208,16,,0.51495
2026-08-13,claude-haiku-4-5,chat,anthropic,292,268932,131108,21408,1712,,0.907345
2026-08-13,claude-haiku-4-5,summarize,anthropic,147,279888,57624,79422,6353,,0.504469
2026-08-13,claude-sonnet-5,agent-runs,anthropic,206,424360,113506,141456,11316,,2.636174
2026-08-13,claude-sonnet-5,chat,anthropic,220,486860,39380,176075,14086,,1.6287
2026-08-13,claude-sonnet-5,summarize,anthropic,85,203150,51255,101143,8091,,1.13553
2026-08-13,gpt-4o,agent-runs,openai,380,650560,242440,108628,8690,,3.833543
2026-08-13,gpt-4o,chat,openai,145,111360,69600,16532,1322,,0.941334
2026-08-13,gpt-4o,summarize,openai,350,279300,213850,106561,8524,,2.623625
2026-08-14,claude-haiku-4-5,agent-runs,anthropic,281,557504,166352,228939,18315,,1.206113
2026-08-14,claude-haiku-4-5,chat,anthropic,118,205202,51094,112552,9004,,0.37063
2026-08-14,claude-haiku-4-5,summarize,anthropic,114,152304,22344,57555,4604,,0.217979
2026-08-14,claude-sonnet-5,agent-runs,anthropic,160,368480,70080,64061,5124,,2.00289
2026-08-14,claude-sonnet-5,chat,anthropic,293,291535,62409,125295,10023,,1.51003
2026-08-14,claude-sonnet-5,summarize,anthropic,186,125736,125736,28571,2285,,2.194675
2026-08-14,gpt-4o,agent-runs,openai,185,344285,50875,54988,4399,,1.259486
2026-08-14,gpt-4o,chat,openai,307,191875,155342,75112,6008,,1.88288
2026-08-14,gpt-4o,summarize,openai,201,241401,140097,15046,1203,,1.974378
2026-08-15,claude-haiku-4-5,agent-runs,anthropic,171,165528,54207,36623,2929,,0.407264
2026-08-15,claude-haiku-4-5,chat,anthropic,368,574816,168912,141273,11301,,1.306357
2026-08-15,claude-haiku-4-5,summarize,anthropic,127,102616,33528,35089,2807,,0.242185
2026-08-15,claude-sonnet-5,agent-runs,anthropic,272,570384,63104,103335,8266,,2.409705
2026-08-15,claude-sonnet-5,chat,anthropic,356,760060,151300,398840,31907,,3.592463
2026-08-15,claude-sonnet-5,summarize,anthropic,364,715260,76076,100884,8070,,3.044796
2026-08-15,gpt-4o,agent-runs,openai,254,580644,141478,296008,23680,,2.274372
2026-08-15,gpt-4o,chat,openai,383,781703,81196,43179,3454,,2.679858
2026-08-15,gpt-4o,summarize,openai,160,136640,90240,30574,2445,,1.182849
2026-08-16,claude-haiku-4-5,agent-runs,anthropic,184,302312,84640,131114,10489,,0.620621
2026-08-16,claude-haiku-4-5,chat,anthropic,391,658835,53958,94472,7557,,0.853046
2026-08-16,claude-haiku-4-5,summarize,anthropic,255,313140,145605,18303,1464,,1.026522
2026-08-16,claude-sonnet-5,agent-runs,anthropic,285,528675,126825,285523,22841,,2.803142
