start,end,title,team,recurring
2025-03-17T09:00:00,2025-03-17T09:30:00,Daily standup,Core,yes
2025-03-17T10:00:00,2025-03-17T10:45:00,1:1 with lead,Core,no
2025-03-17T11:00:00,2025-03-17T12:00:00,Planning sync,Core,no
2025-03-17T13:00:00,2025-03-17T14:30:00,Vendor demo,Core,no
2025-03-17T15:00:00,2025-03-17T16:30:00,Design review,Core,no
2025-03-18T09:00:00,2025-03-18T09:15:00,Daily standup,Core,yes
2025-03-18T10:30:00,2025-03-18T12:30:00,Focus block (hold),Core,no
2025-03-18T14:00:00,2025-03-18T15:00:00,Interview,Core,no
2025-03-19T09:00:00,2025-03-19T09:30:00,Daily standup,Core,yes
2025-03-19T09:45:00,2025-03-19T10:30:00,Staff meeting,Platform,yes
2025-03-19T11:00:00,2025-03-19T12:00:00,Staff meeting,Platform,yes
2025-03-19T13:00:00,2025-03-19T17:00:00,All-hands prep block,Platform,no
2025-03-20T09:00:00,2025-03-20T09:30:00,Daily standup,Core,yes
2025-03-20T11:00:00,2025-03-20T12:00:00,Retro,Core,no
2025-03-21T09:00:00,2025-03-21T09:30:00,Daily standup,Core,yes
2025-03-21T10:00:00,2025-03-21T11:30:00,1:1 with lead,Core,no
