tool_name,status,retries,latency_ms
web_search,success,0,640
web_search,success,0,710
web_search,success,1,1550
web_search,error,1,1800
web_search,success,0,690
code_interpreter,success,0,2100
code_interpreter,success,1,3400
code_interpreter,error,2,4200
code_interpreter,timeout,2,8000
code_interpreter,success,0,1950
database_query,success,0,120
database_query,success,0,140
database_query,success,0,135
database_query,success,0,150
database_query,error,0,110
send_email,success,0,300
send_email,success,0,280
calendar_api,timeout,1,6000
calendar_api,timeout,2,6500
calendar_api,success,1,2200
calendar_api,error,0,500
file_write,success,0,90
file_write,success,0,85
file_write,success,0,95
